079
0288,0352
0320,0352
0352,0352
0384,0416
0576,0480
0608,0480
0640,0480
0672,0480
0704,0480
1312,0608
1344,0608
1792,0736
1824,0736
1856,0736
1504,1088
0256,1152
0288,1152
0320,1152
0352,1152
0384,1152
1056,1344
1088,1344
1536,1440
1024,1728
1056,1728
1088,1728
0480,1888
0704,2080
0736,2080
1024,2304
1760,2432
1792,2432
1824,2432
1856,2432
1440,2784
1472,2784
0736,2880
0160,3072
0192,3072
1664,3264
1696,3264
0608,3328
0640,3328
1056,3552
1088,3552
1568,3936
1568,4512
1600,4512
0160,4800
0192,4800
0224,4800
0256,4800
0832,4928
0864,4928
1600,5024
0576,5504
1824,5504
1856,5504
0224,5760
1088,5824
0320,5984
0352,5984
0384,5984
0416,5984
0448,5984
1376,6112
1984,6368
1472,6560
1504,6560
0448,6624
0960,6784
0992,6784
0352,7008
0384,7008
1056,7264
1600,7360
1248,7648
1280,7648
1312,7648
