101
0288,0128
0320,0128
0352,0128
2112,0128
2144,0128
2176,0128
0704,0288
1120,0288
2016,0288
0384,0736
0416,0736
0800,0736
0832,0736
1952,0864
0032,0960
1248,1088
0032,1376
2432,1440
2464,1440
2496,1440
1248,1568
0096,1760
0128,1760
0160,1760
0192,1760
0864,1760
0896,1760
1440,1888
1184,2304
1216,2304
1248,2304
1280,2304
2272,2400
0096,2432
0128,2432
0640,2592
0672,2592
0704,2592
0832,2752
1600,2848
1280,2976
2144,3040
2176,3040
1312,3264
1600,3264
2400,3648
2432,3648
2464,3648
0768,3808
0800,3808
0992,3808
1024,3808
1408,3808
1440,3808
1472,3808
1504,3808
1888,3808
1920,3808
1952,3808
2208,4352
2240,4352
1280,4448
0224,4512
0256,4512
0288,4512
0320,4512
0352,4512
0768,4512
0800,4512
0832,4512
0864,4512
1632,4544
1664,4544
2432,4576
0768,4736
0800,4736
0832,4736
0864,4736
0352,4896
0384,4896
0640,4896
1408,4896
0384,5088
0416,5088
0448,5088
0704,5280
0288,5472
1536,5536
1568,5536
0320,5632
0352,5632
1120,5984
1152,5984
1888,5984
1920,5984
0704,6240
0736,6240
0768,6240
0800,6240
0832,6240
0864,6240
