class Espinhos 1760 2448 32 16
class Espinhos 736 2096 32 16
class Espinhos 1504 6576 32 16
class Espinhos 384 6000 32 16
class Espinhos 640 496 32 16
class Espinhos 1440 2800 32 16
class Espinhos 1440 2800 32 16
class Espinhos 1760 2448 32 16
class Espinhos 1824 2448 32 16
class Espinhos 1856 5520 32 16
class Espinhos 1024 2320 32 16
class Espinhos 576 496 32 16
class Espinhos 864 4944 32 16
class Espinhos 1856 5520 32 16
class Espinhos 640 496 32 16
class Espinhos 640 3344 32 16
class Espinhos 1824 752 32 16
class Espinhos 1760 2448 32 16
class Espinhos 1984 6384 32 16
class Espinhos 1696 3280 32 16
class Espinhos 1344 624 32 16
class Espinhos 576 496 32 16
class Espinhos 1664 3280 32 16
class Espinhos 1312 624 32 16
class Espinhos 160 3088 32 16
class Espinhos 1600 4528 32 16
class Espinhos 576 5520 32 16
class Espinhos 256 1168 32 16
class Lava 1728 4544 32 32
class Lava 1952 1600 32 32
class Lava 416 7040 32 32
