class Espinhos 992 6800 32 16
class Espinhos 256 4816 32 16
class Espinhos 384 432 32 16
class Espinhos 960 6800 32 16
class Espinhos 224 5776 32 16
class Espinhos 640 496 32 16
class Espinhos 704 496 32 16
class Espinhos 160 4816 32 16
class Espinhos 288 368 32 16
class Espinhos 1024 2320 32 16
class Espinhos 576 5520 32 16
class Espinhos 1760 2448 32 16
class Espinhos 1088 1360 32 16
class Lava 1184 5344 32 32
class Lava 864 4256 32 32
class Lava 480 6016 32 32
class Lava 1792 4544 32 32
class Lava 1792 4544 32 32
class Lava 1696 4544 32 32
class Lava 1952 1600 32 32
class Lava 1184 5344 32 32
class Lava 288 4320 32 32
