class Espinhos 1120 304 32 16
class Espinhos 1152 6000 32 16
class Espinhos 1440 1904 32 16
class Espinhos 864 4528 32 16
class Espinhos 1536 5552 32 16
class Espinhos 864 6256 32 16
class Espinhos 864 4528 32 16
class Espinhos 2464 1456 32 16
class Espinhos 320 4528 32 16
class Espinhos 32 1392 32 16
class Espinhos 2400 3664 32 16
class Espinhos 2272 2416 32 16
class Espinhos 1600 3280 32 16
class Espinhos 1664 4560 32 16
class Espinhos 224 4528 32 16
class Espinhos 2400 3664 32 16
class Espinhos 1120 6000 32 16
class Espinhos 2464 1456 32 16
class Espinhos 768 6256 32 16
class Espinhos 1248 2320 32 16
class Espinhos 672 2608 32 16
class Espinhos 1568 5552 32 16
class Espinhos 1568 5552 32 16
class Espinhos 768 3824 32 16
class Espinhos 1120 6000 32 16
class Espinhos 96 1776 32 16
class Espinhos 1472 3824 32 16
class Espinhos 2272 2416 32 16
class Espinhos 800 4528 32 16
class Espinhos 128 1776 32 16
class Espinhos 96 2448 32 16
class Espinhos 1184 2320 32 16
class Espinhos 128 2448 32 16
class Espinhos 1536 5552 32 16
class Espinhos 320 144 32 16
class Espinhos 416 5104 32 16
class Espinhos 448 5104 32 16
class Espinhos 2176 3056 32 16
class Espinhos 704 5296 32 16
class Espinhos 672 2608 32 16
class Espinhos 1600 2864 32 16
class Lava 2336 160 32 32
class Lava 1952 3520 32 32
class Lava 256 4000 32 32
class Lava 1248 3840 32 32
class Lava 192 5664 32 32
class Lava 1696 3840 32 32
class Lava 1888 5056 32 32
class Lava 1216 3840 32 32
class Lava 1312 4928 32 32
class Lava 1312 4928 32 32
class Lava 1280 4928 32 32
class Lava 992 3136 32 32
class Lava 2400 2432 32 32
