704 5296 32 16 0
1664 4560 32 16 0
832 2768 32 16 0
640 4912 32 16 0
832 4528 32 16 0
320 4528 32 16 0
800 4528 32 16 0
736 6256 32 16 0
128 1776 32 16 0
800 3824 32 16 0
768 4528 32 16 0
1024 3824 32 16 0
1280 4464 32 16 0
256 4528 32 16 0
1536 5552 32 16 0
352 4528 32 16 0
192 1776 32 16 0
640 4912 32 16 0
416 5104 32 16 0
1632 4560 32 16 0
2240 4368 32 16 0
288 4528 32 16 0
1408 3824 32 16 0
352 5648 32 16 0
2240 4368 32 16 0
800 3824 32 16 0
1280 2320 32 16 0
160 1776 32 16 0
832 6256 32 16 0
1920 6000 32 16 0
800 752 32 16 0
864 1776 32 16 0
192 1776 32 16 0
1024 3824 32 16 0
1248 1104 32 16 0
1952 880 32 16 0
1600 2864 32 16 0
768 4528 32 16 0
768 6256 32 16 0
2496 1456 32 16 0
832 4752 32 16 0
832 752 32 16 0
96 2448 32 16 0
832 6256 32 16 0
